"('3', '0', '197', '11')"
"('3', '0', '198', '0')"
"('3', '0', '198', '1')"
"('3', '0', '201', '0')"
"('3', '11', '3', '155')"
"('3', '12', '5', '177')"
"('3', '13', '0', '177')"
"('3', '13', '1', '181')"
"('3', '8', '0', '123')"
"('3', '9', '1', '140')"
"('4', '0', '201', '1')"
"('4', '0', '202', '0')"
"('4', '0', '202', '2')"
"('4', '0', '203', '0')"
"('4', '0', '203', '2')"
"('4', '0', '203', '4')"
"('4', '0', '204', '0')"
"('4', '0', '205', '0')"
"('4', '0', '206', '0')"
"('4', '0', '206', '1')"
"('4', '0', '207', '0')"
"('4', '0', '208', '0')"
"('4', '0', '209', '0')"
"('4', '0', '210', '0')"
"('4', '0', '211', '0')"
"('4', '0', '211', '2')"
"('4', '0', '211', '4')"
"('4', '0', '211', '7')"
"('4', '0', '212', '0')"
"('4', '0', '212', '1')"
"('4', '0', '213', '0')"
"('4', '0', '213', '1')"
"('4', '0', '219', '0')"
"('4', '0', '219', '3')"
"('4', '0', '219', '4')"
"('4', '0', '219', '5')"
"('4', '0', '219', '6')"
"('4', '0', '220', '1')"
"('4', '0', '221', '0')"
"('4', '0', '221', '3')"
"('4', '0', '221', '6')"
"('4', '0', '221', '7')"
"('4', '0', '221', '8')"
"('4', '0', '222', '0')"
"('4', '0', '222', '1')"
"('4', '0', '222', '12')"
"('4', '0', '222', '2')"
"('4', '0', '222', '3')"
"('4', '0', '222', '4')"
"('4', '0', '222', '5')"
"('4', '0', '222', '6')"
"('4', '0', '222', '7')"
"('4', '0', '222', '8')"
"('4', '0', '223', '0')"
"('4', '0', '223', '1')"
"('4', '0', '223', '2')"
"('4', '0', '223', '3')"
"('4', '0', '223', '4')"
"('4', '0', '223', '5')"
"('4', '0', '224', '2')"
"('4', '0', '227', '0')"
"('4', '0', '237', '0')"
"('4', '0', '241', '0')"
"('4', '0', '246', '0')"
"('4', '0', '249', '0')"
"('4', '0', '249', '25')"
"('4', '0', '249', '30')"
"('4', '1', '249', '102')"
"('4', '1', '8', '0')"
"('4', '2', '8', '0')"
"('5', '0', '0', '0')"
"('5', '0', '1', '6')"
"('5', '0', '2', '4')"
"('5', '0', '2', '5')"
"('5', '0', '2', '6')"
"('8', '1', '0', '0')"
"('9', '1', '0', '0')"
